"cty","Name","College_Graduation_Rate_rP_gP_p25"
"cty36023","Cortland County, NY",0.2416
"cty49039","Sanpete County, UT",0.2415
"cty27051","Grant County, MN",0.2411
"cty46087","McCook County, SD",0.241
"cty42113","Sullivan County, PA",0.2408
"cty17169","Schuyler County, IL",0.2406
"cty39103","Medina County, OH",0.2406
"cty50021","Rutland County, VT",0.2405
"cty20009","Barton County, KS",0.2404
"cty48175","Goliad County, TX",0.2404
"cty36083","Rensselaer County, NY",0.2403
"cty31167","Stanton County, NE",0.2403
"cty41007","Clatsop County, OR",0.2401
"cty23021","Piscataquis County, ME",0.2401
"cty19129","Mills County, IA",0.2401
"cty24047","Worcester County, MD",0.24
"cty28027","Coahoma County, MS",0.2399
"cty18073","Jasper County, IN",0.2399
"cty51775","Salem city, VA",0.2397
"cty53013","Columbia County, WA",0.2397
"cty38101","Ward County, ND",0.2393
"cty38093","Stutsman County, ND",0.2393
"cty19017","Bremer County, IA",0.2392
"cty51095","James City County, VA",0.2392
"cty13029","Bryan County, GA",0.2389
"cty29031","Cape Girardeau County, MO",0.2389
"cty31013","Box Butte County, NE",0.2389
"cty05041","Desha County, AR",0.2387
"cty54051","Marshall County, WV",0.2387
"cty39041","Delaware County, OH",0.2383
"cty20143","Ottawa County, KS",0.2382
"cty30021","Dawson County, MT",0.2381
"cty06105","Trinity County, CA",0.238
"cty19051","Davis County, IA",0.2376
"cty33013","Merrimack County, NH",0.2376
"cty27039","Dodge County, MN",0.2375
"cty56035","Sublette County, WY",0.2374
"cty20117","Marshall County, KS",0.2374
"cty20205","Wilson County, KS",0.2374
"cty17155","Putnam County, IL",0.237
"cty31155","Saunders County, NE",0.237
"cty38013","Burke County, ND",0.2369
"cty19099","Jasper County, IA",0.2368
"cty27147","Steele County, MN",0.2367
"cty36005","Bronx County, NY",0.2366
"cty24039","Somerset County, MD",0.2366
"cty19135","Monroe County, IA",0.2366
"cty17031","Cook County, IL",0.2365
"cty06087","Santa Cruz County, CA",0.2365
"cty09013","Tolland County, CT",0.2365
"cty27067","Kandiyohi County, MN",0.2364
"cty39085","Lake County, OH",0.2364
"cty28131","Stone County, MS",0.2361
"cty38105","Williams County, ND",0.2359
"cty42025","Carbon County, PA",0.2357
"cty17159","Richland County, IL",0.2356
"cty02195","Petersburg Borough, AK",0.2356
"cty46081","Lawrence County, SD",0.2356
"cty19033","Cerro Gordo County, IA",0.2355
"cty17053","Ford County, IL",0.2355
"cty41033","Josephine County, OR",0.2354
